stationid,name,city,landkreis,lat,lon,address
160,Schildergasse (Ost),Köln,05315,50.9364674,6.9493833,"Schildergasse, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50667, Deutschland"
161,Stresemannstraße,Bielefeld,05711,52.0248819,8.5331578,"Stresemannstraße, Mitte, Bielefeld, Nordrhein-Westfalen, 33602, Deutschland"
162,Bahnhofstraße (Mitte),Bielefeld,05711,51.9438207,8.5786397,"Altmühlstraße, Verler Dreieck, Sennestadt, Bielefeld, Nordrhein-Westfalen, 33689, Deutschland"
163,Bahnhofstraße (Süd),Bielefeld,05711,51.9438207,8.5786397,"Altmühlstraße, Verler Dreieck, Sennestadt, Bielefeld, Nordrhein-Westfalen, 33689, Deutschland"
164,Prager Straße (Nord),Dresden,14612,51.0437481,13.7355142,"Prager Straße, Seevorstadt-Ost/Großer Garten, Seevorstadt, Altstadt, Dresden, Sachsen, 01069, Deutschland"
165,Kaufingerstraße,München,09162,48.137750350000005,11.572932953288827,"Kaufingerstraße, Bezirksteil Kreuzviertel, Stadtbezirk 01 Altstadt-Lehel, München, Bayern, 80331, Deutschland"
166,Maximilianstraße (Mitte),München,09162,48.1372062,11.5899466,"Maximilianstraße, Bezirksteil Maximilianeum, Stadtbezirk 05 Au-Haidhausen, München, Bayern, 80538, Deutschland"
167,Zeppelinstraße ,Köln,05315,50.9369896,6.9488152,"Zeppelinstraße, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50667, Deutschland"
168,Hohe Straße (Nord),Köln,05315,50.9353861,6.9561997,"Hohe Straße, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50667, Deutschland"
169,Westernstraße,Paderborn,05774,51.7166229,8.7503355,"Westernstraße, Univiertel, Paderborn, Kreis Paderborn, Nordrhein-Westfalen, 33098, Deutschland"
170,Adalbertstraße (West),Aachen,05334,50.7752422,6.0928546,"Adalbertstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Nordrhein-Westfalen, 52062, Deutschland"
171,Hauptstraße,Bergisch-Gladbach,05378,50.9915895,7.1388777,"Hauptstraße, Irlenfelder Hof, Bergisch Gladbach, Rheinisch-Bergischer Kreis, Nordrhein-Westfalen, 51465, Deutschland"
172,Obernstraße,Bremen,04011,53.0784228,8.8029685,"Obernstraße, Altstadt, Mitte, Stadtbezirk Bremen-Mitte, Bremen, 28195, Deutschland"
205,Ehrenstraße (Mitte),Köln,05315,50.9383118,6.941502,"Ehrenstraße, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50672, Deutschland"
206,Kröpeliner Straße (West),Rostock,13003,54.0884273,12.132454,"Kröpeliner Straße, Nördliche Altstadt, Stadtmitte, Ortsbeirat 14 : Stadtmitte, Rostock, Mecklenburg-Vorpommern, 18055, Deutschland"
207,Breite Straße (Mitte),Lübeck,01003,53.8712032,10.6884468,"Breite Straße, Innenstadt, Lübeck, Schleswig-Holstein, 23552, Deutschland"
208,Hoher Weg,Hildesheim,03254,52.1525477,9.9503812,"Hoher Weg, Altstadt, Stadtmitte/Neustadt, Hildesheim, Landkreis Hildesheim, Niedersachsen, 31134, Deutschland"
209,Lange Straße,Oldenburg,03403,53.1428662,8.2132747,"Lange Straße, Heiligengeistviertel, Innenstadt, Oldenburg, Niedersachsen, 26122, Deutschland"
210,Achternstraße,Oldenburg,03403,53.1404641,8.2146351,"Achternstraße, Nikolaiviertel, Innenstadt, Oldenburg, Niedersachsen, 26122, Deutschland"
244,Weender Straße (Süd),Göttingen,03152,51.5362614,9.9347299,"Weender Straße, Am Leinebogen, Innenstadt, Göttingen, Landkreis Göttingen, Niedersachsen, 37073, Deutschland"
245,Hindenburgstraße (Mitte),Mönchengladbach,05116,51.1969896,6.4438912,"Hindenburgstraße, Gladbach, Pesch, Mönchengladbach, Nordrhein-Westfalen, 41061, Deutschland"
246,Westenhellweg (Ost),Dortmund,05913,51.5143119,7.4629448,"Westenhellweg, Mitte, Dortmund, Nordrhein-Westfalen, 44137, Deutschland"
248,Bahnhofstraße (West),Brilon,05958,51.3991078,8.5751925,"Bahnhofstraße, Brilon, Hochsauerlandkreis, Nordrhein-Westfalen, 59929, Deutschland"
249,Bahnhofstraße (Mitte),Brilon,05958,51.3991078,8.5751925,"Bahnhofstraße, Brilon, Hochsauerlandkreis, Nordrhein-Westfalen, 59929, Deutschland"
250,Bürgerturmstraße,Biberach an der Riß,08426,48.099743,9.7902801,"Bürgerturmstraße, Birkendorf, Hagenbuch, Biberach an der Riß, Verwaltungsgemeinschaft Biberach an der Riß, Landkreis Biberach, Baden-Württemberg, 88400, Deutschland"
251,Annastraße,Augsburg,09761,48.3700482,10.8958207,"Annastraße, Innenstadt, St. Ulrich-Dom, Innenstadt, Augsburg, Bayern, 86150, Deutschland"
252,Holm,Flensburg,01001,54.7842014,9.4355319,"Holm, Westliche Höhe, Flensburg, Schleswig-Holstein, 24937, Deutschland"
253,Neustraße,Bocholt,05554,51.8369381,6.6152866,"Neustraße, Altstadt, Stenern, Bocholt, Kreis Borken, Nordrhein-Westfalen, 46399, Deutschland"
254,Zöllnerstraße,Celle,03351,52.6243673,10.0835468,"Zöllnerstraße, Blumlage/Altstadt, Celle, Landkreis Celle, Niedersachsen, 29221, Deutschland"
256,Kirchgasse (Nord),Wiesbaden,06414,50.0777823,8.2382977,"Kirchgasse, Mitte, Wiesbaden, Hessen, 65185, Deutschland"
257,Holstenstraße (Mitte),Kiel,01002,54.322569,10.1385306,"Holstenstraße, Altstadt, Kiel, Schleswig-Holstein, 24103, Deutschland"
258,Mittelstraße (Mitte),Lemgo,05766,52.0283863,8.8956532,"Mittelstraße, Innenstadt, Lemgo, Kreis Lippe, Nordrhein-Westfalen, 32657, Deutschland"
259,Schadowstraße (Mitte),Düsseldorf,05111,51.2274614,6.7863326,"Schadowstraße, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40212, Deutschland"
260,Schadowstraße (Südwest),Düsseldorf,05111,51.2274614,6.7863326,"Schadowstraße, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40212, Deutschland"
261,Flinger Straße (Mitte),Düsseldorf,05111,51.2251385,6.7731226,"Flinger Straße, Altstadt, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40213, Deutschland"
255,Simeonstraße,Trier,07211,49.7580518,6.6425087,"Simeonstraße, Altstadt, Mitte-Gartenfeld, Trier, Rheinland-Pfalz, 54290, Deutschland"
296,Alter Fischmarkt,Münster,05515,51.963128600000005,7.6284985,"Alter Fischmarkt, Dom, Altstadt, Münster-Mitte, Münster, Nordrhein-Westfalen, 48143, Deutschland"
